Name,Category,Type,XAxis,YAxis,
 outcomes affects our decisions.txt, class_0, JUNK, 2.2416933515, 26.6361828596,
1751 Solutions for Your Resolutions.txt, class_12, JUNK, -18.1586690775, -16.5915887748,
2082 1 comment on LinkedIn.txt, class_0, JUNK, -0.381454079082, 28.2521191786,
2427 Re Twitter Sentiment Analysis Manually Classify Tweets GLD 
 Group 4  200 Tweets.txt, class_10, JUNK, 34.6966929286, -8.47945498975,
1500 People from Oracle India Pvt Ltd Montefiore Medical Center and
 Yahoo looked at your profile.txt, class_7, JUNK, -1.29689263378, 11.5492487962,
1763 UTF8QLimitedTimeOnlyE28094Save10.txt, class_9, JUNK, -21.9446143608, 1.47653705152,
2536 Daily Recap for Monday 10 June.txt, class_13, JUNK, 26.8840325832, 9.35845573389,
1127 utf8Q5020off20on20KFC20Fiery20Grilled.txt, class_9, JUNK, -29.537826997, 0.452873681705,
1756 Mon entretien pour Umalis lab avec Naoufel Jammali ministre
 tunisien de la formation professionnelle et de lemploi
 httpleplusnouvelobscomcontribution1117636latunisie3ansapreslechomage.txt, class_12, JUNK, -1.72128574521, -14.7799168084,
939 BucketbotTabs Ancestors Tab.txt, class_12, JUNK, -1.28198546532, -7.05417389064,
297 Youre invited on 98.txt, class_11, JUNK, -44.5890023797, 8.65221565255,
1764 Gamification on Coursera starts January 27th.txt, class_5, JUNK, 17.5549041476, 24.8892794715,
370 Amitabh Kumar is inviting you to join his video call.txt, class_8, JUNK, -9.1911956365, 23.2037405539,
907 In the Public Eye  Tableau 82  Jun 2014.txt, class_6, JUNK, -20.9021251263, 14.9854810897,
108 Congratulate Sarita Chaudhary Ashwin Rastogi and Neeharika Palaka.txt, class_5, JUNK, 6.34976054398, 18.3485785026,
1174 Atlantic City  The Poconos  Italy  The Catskills  Greece.txt, class_10, JUNK, 24.5016232804, 9.7254733987,
824 What We Want From Work.txt, class_10, JUNK, 2.31434289496, 3.81473418151,
245 Promo Code Special Save BIG This October.txt, class_2, JUNK, 5.72153649953, -39.5890167094,
2085 3 discussions and 1 comment on LinkedIn.txt, class_0, JUNK, 2.80258915822, 31.011408692,
1195 Tax terrorism  Share deals of hundreds of unlisted companies under
 IT dept scrutiny.txt, class_12, JUNK, 5.66148557171, -11.7070649081,
2403 Re Twitter Sentiment Analysis I vote for  Matteos approach.txt, class_10, JUNK, 33.234470815, -3.2008908234,
1264 utf8Q5020off20on20KFC20Fiery20Grilled.txt, class_9, JUNK, -29.5378397422, 0.452829154207,
1376 Tax Envelope.txt, class_14, JUNK, 27.4453065076, 21.841883801,
774 utf8Q5020off20on20KFC20Fiery20Grilled28Valid20on20all20Online20Orders29.txt, class_9, JUNK, -28.879136063, 2.29715337579,
372 Your Amazoncom order has shipped 11449924133057866.txt, class_1, JUNK, -22.6989137674, 32.8973961611,
1133 Hi Anjishnu Kumar Citibank ATMs around MADHAPUR HYDERABAD.txt, class_6, JUNK, -21.8887993297, 12.8600326308,
2424 Re Twitter Sentiment Analysis Manually Classify Tweets GLD 
 Group 4  200 Tweets.txt, class_10, JUNK, 34.5810319629, -8.35875992485,
394 utf8QBuy206pc20Hot2020Crispy20and20Get206pc20free20on20Wednesdays2028Valid20on20all20Orders29.txt, class_9, JUNK, -28.5289463687, 7.87804936686,
1375 Your tax papers are an identity thiefs dream.txt, class_5, JUNK, 20.2332471613, 7.75226855126,
2130 Top news for Anjishnu What Part of a Web Page Gets the Highest
 Viewership.txt, class_4, JUNK, -2.88922620272, -0.0271747735365,
2468 Re Twitter Sentiment Analysis Verify classified Tweets GLD 
 Group 5  128 Tweets.txt, class_10, JUNK, 30.751337176, -16.0940647302,
1701 utf8QAnjishnu2C20Is20it20Harder20for20Women20in20Tech203F.txt, class_9, JUNK, -22.5570828458, 2.59880747063,
1275 Paris  Rome  Washington DC  St Maarten  Dominican Republic 
 Ireland.txt, class_5, JUNK, 24.2097722598, 13.9251984528,
247 Congratulate Vishal Vyas and Kush Goyal.txt, class_3, JUNK, -1.05471516684, 15.3896619431,
1305 New Stanford Online Learning Opportunities.txt, class_2, JUNK, 4.61143058143, -38.485153501,
1906 Lekha Kumar is inviting you to join her video call.txt, class_1, JUNK, -23.5278802968, 28.5628826486,
938 Theres a better way to pay your bills.txt, class_3, JUNK, 8.12198792235, 11.3213886233,
1387 Welcome Case Western Reserve University.txt, class_7, JUNK, 0.582789049176, -26.2745201294,
827 45 Off Samsung Galaxy Tab 3 Soniclean Pro Toothbrushes GOwalk
 Activity Trackers  More.txt, class_4, JUNK, 1.41959508576, 6.89905562306,
905 Hot deals on Broadway for Your Holiday Week  Other Great
 Entertainment Steals.txt, class_13, JUNK, 15.2993515571, -14.1648697221,
635 Local AWS InstructorLed Training.txt, class_10, JUNK, 16.1951459201, -10.5114313076,
1075 4 Myths About Apple Design From An ExApple Designer.txt, class_10, JUNK, 28.089704023, 3.99729206764,
1100 utf8Q2020off20on20KFC.txt, class_1, JUNK, -17.5778713536, 30.8113085268,
